TS	PRESCALE	PRESCALE_WSTB	SOFT_GATE	SOFT_GATE_WSTB	TABLE_CYCLE	TABLE_CYCLE_WSTB	TABLE_START	TABLE_START_WSTB	TABLE_DATA	TABLE_DATA_WSTB	TABLE_LENGTH	TABLE_LENGTH_WSTB
76347	2	0	0	0	1	0	0	0	1	1	2	0
76348	2	0	0	0	1	0	0	0	2	1	2	0
76349	2	0	0	0	1	0	0	0	2	0	2	0
76350	2	0	0	0	1	0	0	0	2	0	1	1
76351	2	0	0	0	1	0	0	0	2	0	1	0
76352	2	0	0	0	1	0	0	0	2	0	1	0
76360	2	0	0	0	1	0	0	0	2	0	1	0
76362	2	0	0	0	1	0	0	0	2	0	1	0
76366	2	0	0	0	1	0	0	0	2	0	1	0
76367	0	0	0	0	0	0	0	0	0	0	0	0
88869	2	1	0	0	0	0	0	0	0	0	0	0
88870	2	0	0	0	1	1	0	0	0	0	0	0
88871	2	0	0	0	1	0	0	1	0	0	0	0
88872	2	0	0	0	1	0	0	0	0	0	0	0
88873	2	0	0	0	1	0	0	0	1	1	0	0
88874	2	0	0	0	1	0	0	0	4278271744	1	0	0
88875	2	0	0	0	1	0	0	0	2	1	0	0
88876	2	0	0	0	1	0	0	0	1	1	0	0
88877	2	0	0	0	1	0	0	0	1	0	0	0
88878	2	0	0	0	1	0	0	0	1	0	1	1
88879	2	0	0	0	1	0	0	0	1	0	1	0
88883	2	0	0	0	1	0	0	0	1	0	1	0
88892	2	0	0	0	1	0	0	0	1	0	1	0
88896	2	0	0	0	1	0	0	0	1	0	1	0
88898	2	0	0	0	1	0	0	0	1	0	1	0
88908	2	0	0	0	1	0	0	0	1	0	1	0
89908	2	0	0	0	1	0	0	0	1	0	1	0
89912	2	0	0	0	1	0	0	0	1	0	1	0
89914	2	0	0	0	1	0	0	0	1	0	1	0
