TS	START	START_WSTB	STEP	STEP_WSTB	WIDTH	WIDTH_WSTB	PNUM	PNUM_WSTB	RELATIVE	RELATIVE_WSTB	DIR	DIR_WSTB	DELTAP	DELTAP_WSTB	USE_TABLE	USE_TABLE_WSTB	TABLE_START	TABLE_START_WSTB	TABLE_LENGTH	TABLE_LENGTH_WSTB
75141	5	0	4	0	3	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0
75142	5	0	4	0	3	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0
75143	5	0	4	0	3	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0
75144	5	0	4	0	3	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0
75145	5	0	4	0	3	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0
75146	5	0	4	0	3	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0
75147	5	0	4	0	3	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0
75150	5	0	4	0	3	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0
75152	5	0	4	0	3	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0
75154	5	0	4	0	3	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0
75155	5	0	4	0	3	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0
75156	5	0	4	0	3	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0
75157	5	0	4	0	3	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0
75158	5	0	4	0	3	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0
75170	5	0	4	0	3	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0
75171	5	0	4	0	3	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0
75172	5	0	4	0	3	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0
75173	5	0	4	0	3	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0
75174	5	0	4	0	3	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0
75175	5	0	4	0	3	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0
75176	5	0	4	0	3	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0
75177	5	0	4	0	3	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0
75178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87681	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87682	5	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87683	5	0	4	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87684	5	0	4	0	2	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0
87685	5	0	4	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
87688	5	0	4	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
87692	5	0	4	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
87705	5	0	4	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
87706	5	0	4	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
87707	5	0	4	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
87708	5	0	4	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
87709	5	0	4	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
87721	5	0	4	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
87725	5	0	4	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
87727	5	0	4	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
87728	5	0	4	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
